id,都道府県id,低料金順位,全国順位,団体名,水道料金（円）,値上げ率（％）,料金回収率（％）,経常収支比率（％）,財政力指数
103,2,18,1174,平内町,5065,0,129.44,132.92,0.22
104,2,20,1225,鰺ケ沢町,5544,0,106.97,109.73,0.2
105,2,26,1258,深浦町,6588,0,58.69,104.26,0.16
106,2,19,1204,藤崎町,5321,0,102.37,102.72,0.27
107,2,17,1165,田舎館村,5007,0,104.51,108.68,0.27
108,2,16,1156,板柳町,4956,0,128.27,128.14,0.27
109,2,12,1085,鶴田町,4579,0,99.35,99.95,0.25
110,2,23,1242,中泊町,5972,0,112.73,125.81,0.2
111,2,2,498,野辺地町,3024,0,116.53,117.34,0.38
112,2,4,521,七戸町,3071,0,115.5,118.64,0.33
113,2,6,615,東北町,3322,0,97.29,106.94,0.28
114,2,3,517,六ケ所村,3067,0,109.01,109.66,1.65
115,2,9,991,大間町,4320,0,90.56,93.52,0.25
116,2,11,1037,東通村,4449,0,55.14,107.1,0.86
117,2,14,1142,田子町,4870,0,103.89,104.39,0.19
118,2,21,1232,津軽広域水道企業団,5616,0,101.47,108,-
119,2,25,1253,久吉ダム水道企業団,6279,0,77.61,126.74,-
120,2,14,1142,八戸圏域水道企業団,4870,0,117.39,119.46,-
121,3,10,707,盛岡市,3520,0,125.19,132.65,0.73
122,3,2,384,宮古市,2808,0,103.54,120.93,0.36
123,3,9,696,大船渡市,3502,0,118.52,124.5,0.46
124,3,3,514,久慈市,3060,0,78.9,91.7,0.41
125,3,21,1081,遠野市,4560,0,95.61,118.06,0.28
126,3,15,904,一関市,4071,0,103.86,113.78,0.38
127,3,13,894,陸前高田市,4050,0,86.2,100.79,0.29
128,3,4,556,釜石市,3153,0,104.73,107.41,0.5
129,3,23,1182,二戸市,5091,0,89.57,116.7,0.36
130,3,7,647,八幡平市,3404,0,91.01,108.11,0.29
131,3,12,856,奥州市,3942,0,87.07,107.97,0.42
132,3,11,778,滝沢市,3699,0,109.17,119.02,0.57
133,3,5,579,雫石町,3229,0,109.63,115.07,0.39
